snake,trialBlock,orderInTrial,snakeName,soundToPlay,roomSideSoundPlayed,dayNumber,tongueFlickCount,freezeBehaviourCount,headJerkCount,cautionaryExplorationBehaviour,timeOfDay,headDirectionWhenLiftedHutch,headMovementLeftDirection,headMovementRightDirection,headMovementTowardSpeaker,headMovementAwayFromSpeaker,headMovementDistanceTotal,Notes,Fixation behaviour?,hissesNumber,lowerJawDrop,parascoping,secondsOfTrial
13,5,17,Bright Sister,2,1,3,1,0,0,no,14:10:00,right,0,0,0,0,0,"she brought the back end of her body closer to her, but head stayed same position.",0,0,0,0,30
5,5,18,Mawa,3,1,3,47,0,0,no,14:18:00,toward the sound,60,0,45,65,170,,0,0,0,0,30
8,5,19,Mr Naughty,0,1,3,2,0,0,no,14:24:00,toward the sound,5,0,0,0,5,,0,0,0,0,30
16,6,1,Dorsal Girl,3,1,3,31,1,0,no,14:30:00,toward the sound,5,20,30,0,55,"froze at very end of trial when got closest to the speaker, and stopped flicking tongue at that very moment too. ",0,0,0,0,30
13,6,2,Bright Sister,3,1,3,8,0,0,no,14:36:00,left,0,0,5,0,5,,0,0,0,0,30
15,6,3,Bitey Boy,2,1,3,45,0,0,no,14:41:00,left,5,0,40,10,55,,0,0,0,0,30
1,6,4,Squishy,1,1,3,22,1,0,no,14:50:00,left,0,0,40,0,40,,0,0,0,0,30
17,6,5,Elapid Boy,0,1,3,30,0,0,no,14:59:00,toward the sound,0,0,90,85,175,periscoped about 6cm on two occasions. ,0,0,0,2,30
4,6,6,Lower Jaw,0,1,3,46,0,0,no,15:05:00,toward the sound,10,10,0,90,110,,0,0,0,0,30
2,6,7,Boss,1,1,3,6,0,0,no,15:12:00,away from sound,0,0,0,0,0,"did not move a muscle the whole time. Alert, but choosing not to move. ",0,0,0,0,30
18,6,8,Casper,3,1,3,36,0,0,no,15:19:00,left,10,0,20,15,45,boring!,0,0,0,0,30
12,6,9,Dull Sister,0,1,3,23,0,0,no,15:26:00,toward the sound,20,0,45,0,65,,0,0,0,0,30
10,6,10,Briggs,2,1,3,0,0,0,no,15:58:00,away from sound,0,0,0,0,0,,0,0,0,0,30
19,6,11,Chris' Hoplo,3,1,3,0,0,0,no,16:05:00,right,0,0,0,0,0,absolutely no behaviour to record. Sat there like a dead snake.,0,0,0,0,30
8,6,12,Mr Naughty,2,1,3,29,1,0,no,16:09:00,away from sound,20,5,85,0,110,,0,0,0,0,30
6,6,13,Upgrade,3,1,3,18,1,0,no,16:15:00,left,25,0,130,40,195,,0,0,0,0,17
11,6,14,Glory,1,1,3,0,0,0,no,16:23:00,toward the sound,0,0,0,0,0,,0,0,0,0,30
14,6,15,Lumpy,1,1,3,47,1,3,yes,16:28:00,away from sound,0,50,90,0,140,"very interesting response. Like he was trying to work out where the sound was coming from, and then when he faced the speaker, he kept his direction and head in the same spot. Fixation at 26sec",1,0,0,0,30
3,6,16,Fibonacci,1,1,3,33,1,0,no,16:34:00,toward the sound,50,0,35,20,105,"as soon as sound was gone, he changed direction. He maintained his head direction facing the sound source whilst moving perpendicular to the sound. Keeping eye on threat source but move away: typical taipan behaviour. ",1,0,0,0,30
7,6,17,El Diablo,3,1,3,1,0,0,no,16:45:00,right,0,0,0,0,0,,0,0,0,0,30
9,6,18,Perth Girl,3,1,4,0,0,0,no,08:54:00,away from sound,0,0,0,0,0,,0,0,0,0,30
5,6,19,Mawa,3,1,4,56,0,0,yes,09:04:00,left,0,0,0,0,0,,0,0,0,0,30
12,7,1,Dull Sister,2,1,4,0,0,0,no,09:11:00,away from sound,0,0,0,0,0,"at start of trial, moved back half of body inward, toward the rest of her body. ",0,0,0,0,30
2,7,2,Boss,0,1,4,3,0,0,no,09:18:00,toward the sound,0,0,0,0,0,,0,0,0,0,30
14,7,3,Lumpy,2,1,4,38,0,0,no,09:23:00,left,0,40,10,50,100,moderate blueing of the eye for shed,0,0,0,0,30
9,7,4,Perth Girl,1,1,4,0,0,0,no,09:28:00,away from sound,0,0,0,0,0,,0,0,0,0,30
16,7,5,Dorsal Girl,1,1,4,35,0,0,no,09:33:00,toward the sound,0,5,20,45,70,,0,0,0,0,30
5,7,6,Mawa,1,1,4,52,1,12,no,09:40:00,toward the sound,20,15,30,35,100,all head jerks were small. Not normal for this snake this movement. Unusual for this snake. Like he was fixated on the ground. Lots of short tongue flicks scenting the ground. Possibly scenting where his own body just was?,0,0,0,0,30
4,7,7,Lower Jaw,1,1,4,40,0,0,yes,09:47:00,toward the sound,0,15,50,55,120,"all distance moved was in reverse, ie. not forward of the head. Like a swivel.",0,0,0,0,30
10,7,8,Briggs,1,1,4,0,0,0,no,09:53:00,away from sound,0,0,0,0,0,,0,0,0,0,30
13,7,9,Bright Sister,3,1,4,2,0,0,no,09:59:00,away from sound,0,0,0,5,5,"right when sound started, she moved 1cm in direction of head.",0,0,0,0,30
7,7,10,El Diablo,3,1,4,0,0,0,no,10:06:00,away from sound,0,0,10,0,10,"one big hissed. Dropped lower jaw. Immediately once sound started, he retracted head backwards toward body. Like in response to sound. ",0,1,1,0,30
8,7,11,Mr Naughty,1,1,4,,,,,,,,,,,0,skipped cuz AEC lady here and snake is stroke-like.,na,na,na,na,30
6,7,12,Upgrade,3,1,4,16,0,0,no,10:13:00,toward the sound,0,0,100,0,100,,0,0,0,0,30
11,7,13,Glory,2,1,4,,,,,,,,,,,,redo b/c couldn't see tongue flicks,na,na,na,na,30
17,7,14,Elapid Boy,0,1,4,8,0,1,no,10:28:00,toward the sound,0,0,0,0,0,"just when trial ended, did one small head-jerk.",0,0,0,0,30
19,7,15,Chris' Hoplo,3,1,4,24,0,0,no,10:33:00,right,10,0,10,3,23,,0,0,0,0,30
15,7,16,Bitey Boy,0,1,4,,,,,,,,,,,,skipped cuz AEC lady here and snake is blue.,na,na,na,na,30
1,7,17,Squishy,3,1,4,16,0,1,yes,10:40:00,toward the sound,3,15,30,15,63,,0,0,0,0,30
3,7,18,Fibonacci,2,1,4,29,1,3,yes,10:50:00,right,10,10,50,50,120,"a very interesting one! Right when sound started, he pulled his head back rapidly. Thereafter it was cautious and tense behaviour. ",1,0,0,0,30
18,7,19,Casper,2,1,4,38,0,0,no,10:56:00,right,0,8,0,40,48,,0,0,0,0,30
8,7,11,Mr Naughty,1,1,4,15,0,1,no,11:53:00,left,5,5,0,20,30,copied row here from above b/c skipped earlier today. Head jerk was when he touched himself. This snake is a bit special. Possibly had a stroke a few months back. ,0,0,0,0,30
11,7,13,Glory,2,1,4,0,0,0,no,11:59:00,toward the sound,0,0,0,0,0,"copied row here from above b/c skipped earlier today. Whilst head did not move, back half of body moved to left about 20cm. Not in coiling-toward-body fashion though. ",0,0,0,0,30
15,7,16,Bitey Boy,0,1,4,15,0,0,no,12:06:00,left,5,0,10,0,15,copied row here from above b/c skipped earlier today. ,0,0,0,0,30
18,8,1,Casper,0,2,4,33,0,0,no,12:11:00,right,0,15,15,5,35,,0,0,0,0,30
7,8,2,El Diablo,1,2,4,1,0,0,no,12:16:00,toward the sound,0,0,1,0,1,"shifted direction of head slightly when the sound started. Important: Started trial in a defensive posture (tension in the body, slightly coiled backward) and maintained that exact position the whole trial. ",0,0,0,0,30
6,8,3,Upgrade,0,2,4,40,0,0,no,12:24:00,toward the sound,120,60,60,20,260,Ugrgrade actually made it through a trial! ,0,0,0,0,30
19,8,4,Chris' Hoplo,3,2,4,23,0,0,no,12:33:00,left,0,0,7,7,14,,0,0,0,0,30
8,8,5,Mr Naughty,0,2,4,27,0,0,no,12:41:00,right,60,0,10,20,90,,0,0,0,0,30
3,8,6,Fibonacci,0,2,4,33,0,0,yes,13:44:00,toward the sound,40,20,40,40,140,3 hisses. ,0,3,0,0,30
17,8,7,Elapid Boy,2,2,4,32,0,13,no,13:50:00,right,20,20,140,80,260,lots of little head-jerks nearly whole time during the trial. ,0,0,0,0,30
1,8,8,Squishy,3,2,4,26,0,0,no,13:58:00,right,0,0,30,105,135,"he stopped moving right when the sound stopped, so like a reaction to a difference in the sound. ",0,0,0,0,30
11,8,9,Glory,3,2,4,0,0,0,no,14:06:00,away from sound,0,0,0,0,0,,0,0,0,0,30
2,8,16,Boss,1,2,4,7,0,0,no,14:12:00,left,10,0,5,3,18,"once settled into position, she kept her position whole time, with head raised about 5cm.",0,0,0,0,30
